Education Level,Job Title,Years of Experience,Salary
Master,Senior Software Engineer,19,185000
PhD,Director of Data Science,18,210000
Bachelor,Senior Financial Analyst,8,90000
Master,Human Resources Manager,8,92000
Master,Marketing Director,14,180000
PhD,Data Scientist,13,140000
PhD,Research Director,10,150000
Bachelor,Software Project Manager,9,95000
PhD,Software Engineer Manager,15,185000
Master,Front end Developer,6,99363
Bachelor,Junior Social Media Specialist,3,45000
Master,Senior Data Scientist,8,120000
PhD,Chief Technology Officer,24,250000
Bachelor,Software Engineer,5,160000
Bachelor,Operations Manager,10,113000
PhD,Data Scientist,5,180000
High School,Receptionist,0,25000
Master,Product Manager,11,198000
Bachelor,Digital Marketing Specialist,3,60000
Master,Marketing Coordinator,9,100000
Bachelor,Software Engineer,2,65000
PhD,Sales Director,14,140000
High School,Sales Associate,2,40000
High School,Junior HR Coordinator,2,33000
Bachelor,Back end Developer,10,94502
Bachelor,Software Engineer,5,90000
Master,Content Marketing Manager,19,190000
Master,Software Engineer Manager,10,150000
Bachelor,Junior Software Developer,1,35000
Bachelor,Human Resources Manager,8,95000
Bachelor,Software Engineer,8,190000
Master,Product Manager,12,196000
PhD,Research Scientist,12,170000
Bachelor,Back end Developer,8,100679
High School,Sales Executive,1,35000
PhD,Data Scientist,22,219000
Master,Back end Developer,10,155000
Bachelor,Full Stack Engineer,5,115000
Bachelor,Sales Manager,11,160000
Master,Software Engineer Manager,12,160000
Bachelor,Marketing Coordinator,4,58000
PhD,Data Scientist,16,160000
Master,Senior Financial Advisor,6,80000
PhD,Senior Human Resources Manager,11,115000
Master,Senior Software Engineer,9,150000
Bachelor,Software Developer,2,60000
PhD,Research Scientist,10,150000
Bachelor,Software Developer,3,60000
Master,Marketing Manager,14,170000
Bachelor,Director of Marketing,8,80000
Bachelor,Software Engineer,4,65000
Master,Financial Manager,7,120000
Bachelor,Junior Software Engineer,1,55000
High School,Sales Executive,1,35000
Bachelor,Senior Product Marketing Manager,5,85000
Bachelor,Software Engineer,4,140000
Bachelor,Sales Director,9,140000
Bachelor,Operations Manager,5,70000
Bachelor,Web Developer,6,80000
High School,Front end Developer,2,62852
Master,Junior Web Developer,2,48000
Bachelor,Senior Business Analyst,10,110000
High School,Junior HR Coordinator,2,33000
Bachelor,Marketing Analyst,4,70000
Master,Software Engineer Manager,13,170000
Bachelor,Front End Developer,3,70000
PhD,Sales Representative,4,55000
Master,Marketing Director,14,190000
Master,Senior HR Generalist,4,70000
Bachelor,Marketing Analyst,3,65000
Bachelor,Full Stack Engineer,6,91903
Master,Full Stack Engineer,5,105000
PhD,Senior Data Scientist,16,160000
Master,Marketing Manager,10,110000
Master,Back end Developer,6,130000
Master,Software Developer,7,90000
PhD,Research Scientist,13,185000
PhD,Software Engineer Manager,30,184660
PhD,Data Scientist,7,185000
High School,Junior Sales Associate,2,35000
Master,Senior Product Marketing Manager,18,180000
Master,Senior Software Engineer,24,184480
Bachelor,Back end Developer,5,100000
PhD,Data Scientist,5,100000
Bachelor,Full Stack Engineer,7,130000
High School,Sales Associate,1,30000
Master,Full Stack Engineer,9,131547
Master,Financial Advisor,10,95000
Bachelor,Project Manager,6,100000
Bachelor,Front end Developer,1,55000
Master,Financial Analyst,6,100000
Bachelor,Senior Software Engineer,30,186321
PhD,Data Scientist,9,145000
Master,Marketing Manager,11,120000
Bachelor,Software Engineer,4,140000
Master,Human Resources Manager,11,120000
High School,Back end Developer,8,104127
Bachelor,Junior Software Developer,1,35000
PhD,Data Scientist,9,140000
Bachelor,Web Developer,4,65000
Bachelor,Front end Developer,2,70000
Master,Product Manager,7,110000
Bachelor,Junior Web Developer,2,45000
Master,Financial Manager,8,120000
Bachelor,Marketing Analyst,3,60000
Bachelor,Data Analyst,2,115000
High School,Receptionist,0,25000
Bachelor,Software Developer,2,55000
Bachelor,Product Designer,2,50000
Bachelor,Software Engineer,4,75000
Master,Full Stack Engineer,11,151078
High School,Junior Sales Associate,2,35000
PhD,Software Engineer Manager,16,190000
Bachelor,Back end Developer,2,65000
Bachelor,Software Engineer,4,70000
PhD,Research Scientist,13,185000
Bachelor,Software Engineer,4,140000
Bachelor,Software Engineer,4,75000
Bachelor,Full Stack Engineer,6,115000
Master,Full Stack Engineer,19,177347
Bachelor,Junior HR Coordinator,4,500
Bachelor,Senior Marketing Manager,8,95000
Bachelor,Data Scientist,9,185000
Bachelor,Sales Manager,11,160000
Bachelor,Back end Developer,19,150729
Bachelor,Software Developer,6,85000
High School,Junior Sales Associate,1,26000
Bachelor,Content Marketing Manager,12,120000
Master,Sales Manager,14,140000
Master,Software Engineer Manager,12,160000
Master,Data Scientist,6,180000
High School,Junior Sales Associate,1,30000
Master,Marketing Director,14,195000
PhD,Software Engineer Manager,18,210000
Bachelor,Data Analyst,9,195000
Bachelor,Junior HR Coordinator,4,50000
Master,Sales Manager,14,140000
Master,Front end Developer,13,127346
Master,Senior Software Engineer,6,132720
Bachelor,Junior Marketing Manager,5,70000
Bachelor,Graphic Designer,2,50000
Bachelor,Software Engineer,3,70000
Bachelor,Data Analyst,5,125000
Master,Full Stack Engineer,6,130000
Bachelor,Web Developer,5,70000
High School,Sales Executive,1,35000
PhD,Data Scientist,9,145000
Bachelor,Marketing Manager,9,130000
Master,Director of HR,6,95000
Bachelor,Junior Software Engineer,1,55000
Bachelor,Product Designer,2,50000
Bachelor,Operations Manager,8,104000
Bachelor,Operations Manager,11,119000
Bachelor,Senior Project Engineer,28,193964
PhD,Research Scientist,12,170000
PhD,Data Scientist,8,140000
PhD,Research Director,11,160000
Bachelor,Marketing Analyst,4,70000
Master,Director of Marketing,13,130000
Bachelor,Web Developer,2,50000
Bachelor,Digital Marketing Manager,6,95000
High School,Sales Associate,3,50000
PhD,Research Scientist,12,160000
Master,Marketing Manager,10,110000
PhD,Sales Representative,4,55000
Bachelor,Junior Software Developer,2,37000
Master,Content Marketing Manager,19,190000
PhD,Software Engineer Manager,16,185000
Master,Back end Developer,8,140000
Master,Marketing Coordinator,11,120000
Bachelor,Back end Developer,10,126593
Bachelor,Marketing Coordinator,4,57000
Master,Software Engineer,2,60000
PhD,Software Engineer Manager,17,195000
Master,Back end Developer,3,90000
PhD,Research Scientist,8,120000
Master,Full Stack Engineer,4,85825
PhD,Data Scientist,8,140000
Bachelor,Software Engineer,6,155000
Master,Financial Analyst,4,90000
Bachelor,Software Engineer,4,160000
High School,Receptionist,0,25000
Master,Senior Software Engineer,16,138032
Bachelor,Software Engineer,1,52000
Master,Product Manager,14,180000
PhD,Software Engineer Manager,29,194214
PhD,Software Engineer Manager,14,180000
Bachelor,Social Media Specialist,3,45000
Master,Front end Developer,8,106492
Bachelor,Data Analyst,3,100000
Master,Financial Manager,7,120000
Bachelor,Front end Developer,2,70000
Master,Marketing Manager,9,130000
Bachelor,Digital Marketing Manager,4,80000
Bachelor,Operations Manager,10,113000
Bachelor,Data Analyst,2,110000
Bachelor,Product Manager,1,60000
PhD,Data Scientist,15,190000
Master,Web Developer,10,110000
Bachelor,Junior HR Generalist,2,42000
Master,Marketing Manager,10,110000
Bachelor,Operations Manager,6,75000
Bachelor,Junior HR Generalist,2,42000
Bachelor,Sales Director,9,140000
PhD,Data Scientist,9,145000
Bachelor,Senior Project Engineer,14,119224
Bachelor,Sales Director,6,75000
Bachelor,Data Analyst,3,110000
Master,Marketing Manager,9,130000
Bachelor,Content Marketing Manager,12,120000
Bachelor,Marketing Coordinator,4,57000
Master,Financial Manager,7,120000
High School,Junior Sales Associate,1,30000
Bachelor,Junior Business Analyst,2,40000
PhD,Data Scientist,7,185000
PhD,Data Scientist,7,185000
PhD,Sales Director,10,155000
Bachelor,Human Resources Manager,6,75000
Bachelor,Full Stack Engineer,6,103579
Master,Marketing Director,14,190000
Bachelor,Senior Project Engineer,25,166958
PhD,Senior UX Designer,16,160000
Bachelor,Back end Developer,3,80000
PhD,Data Scientist,24,240000
Bachelor,Sales Manager,1,35000
Bachelor,Software Engineer,1,50000
Bachelor,Software Engineer,5,150000
Master,Product Manager,3,130000
Bachelor,Senior Project Engineer,28,193964
Bachelor,Back end Developer,10,123386
Master,Data Scientist,6,180000
Master,Senior Software Engineer,19,175684
PhD,Senior Project Engineer,16,185000
Bachelor,Senior Project Engineer,20,142421
Master,Senior Software Engineer,23,174436
PhD,Data Scientist,22,219000
Master,Data Scientist,3,75000
Bachelor,Data Analyst,2,110000
Bachelor,Junior Software Engineer,1,55000
Bachelor,Junior Software Engineer,1,45000
Bachelor,Front end Developer,1,60000
PhD,Director of Data Science,18,210000
Master,Full Stack Engineer,11,138859
High School,Junior Sales Representative,3,40000
PhD,Senior Product Marketing Manager,17,170000
PhD,Senior Software Engineer,12,160000
Master,Full Stack Engineer,9,135596
Bachelor,Marketing Manager,3,65000
Bachelor,Software Engineer,4,75000
Bachelor,Software Engineer,4,65000
Master,Human Resources Manager,8,92000
Bachelor,Junior HR Generalist,3,45000
PhD,Senior Data Scientist,12,170000
Bachelor,Senior Project Engineer,28,192292
Master,Senior Software Engineer,10,155000
Master,Data Scientist,6,180000
Master,Front end Developer,5,78354
Master,Director of Finance,20,180000
Bachelor,Software Engineer,8,190000
High School,Junior Sales Associate,1,25000
Bachelor,Sales Manager,11,160000
Bachelor,Marketing Analyst,3,60000
Master,Senior Software Engineer,11,134979
Master,Marketing Manager,13,130000
Bachelor,Data Analyst,1,90000
Master,Human Resources Manager,11,120000
Bachelor,Back end Developer,8,100679
Bachelor,Senior Software Engineer,7,108267
Master,Back end Developer,9,150000
Bachelor,Software Developer,2,55000
Bachelor,Front end Developer,2,65000
PhD,Data Scientist,19,190000
Bachelor,Junior Sales Representative,6,75000
Bachelor,Marketing Coordinator,5,90000
PhD,Senior Project Engineer,14,190000
Master,Marketing Director,14,190000
PhD,Senior Human Resources Manager,12,120000
Master,Senior Software Engineer,7,140000
Master,Marketing Coordinator,8,85000
PhD,Software Engineer Manager,0,52779
Bachelor,Junior Product Manager,4,60000
High School,Junior Sales Associate,2,30000
Master,Software Developer,8,95000
Master,Senior Data Scientist,8,120000
PhD,Software Engineer Manager,23,168304
Master,Marketing Manager,9,130000
Bachelor,Junior Marketing Manager,4,57000
PhD,Software Engineer Manager,12,169159
Bachelor,Data Analyst,3,120000
Master,Product Manager,7,110000
Bachelor,Human Resources Coordinator,2,47000
Bachelor,Software Developer,6,85000
PhD,Software Engineer Manager,11,165000
Bachelor,Senior Software Engineer,5,100151
Master,Full Stack Engineer,7,130000
Bachelor,Software Engineer,12,195000
PhD,Software Engineer Manager,14,190000
PhD,Director of Data Science,18,210000
PhD,Senior Project Engineer,14,190000
Master,Software Engineer Manager,13,170000
Bachelor,Project Manager,8,120000
Master,Senior Project Engineer,11,170000
Bachelor,Junior Business Development Associate,3,50000
Bachelor,Data Analyst,3,130000
Bachelor,Full Stack Engineer,25,179756
Bachelor,Senior Software Engineer,7,108267
PhD,Product Manager,14,195000
Bachelor,Web Developer,5,70000
Master,Senior Software Engineer,20,174938
Master,Marketing Manager,12,150000
Master,Full Stack Engineer,4,83577
Bachelor,Web Developer,3,55000
Master,Marketing Manager,7,110000
Bachelor,Product Manager,7,120000
PhD,Software Engineer Manager,14,190000
High School,Customer Service Representative,3,35000
Bachelor,Product Manager,7,120000
Master,Senior HR Generalist,4,75000
Bachelor,Front end Developer,2,70000
Master,Senior Software Engineer,7,140000
Master,Marketing Manager,7,110000
Bachelor,Software Engineer,8,180000
Bachelor,Marketing Analyst,2,50000
Master,Senior Project Engineer,10,113334
Master,Marketing Manager,6,77000
PhD,Senior Research Scientist,11,135000
Master,Front end Developer,2,65840
Bachelor,Data Analyst,9,195000
Master,Software Engineer Manager,17,151670
PhD,Research Director,11,160000
PhD,Software Engineer Manager,11,165000
Master,Full Stack Engineer,5,105000
Master,Marketing Coordinator,13,131000
PhD,Software Engineer Manager,17,195000
Bachelor,Front end Developer,3,80000
Bachelor,Junior Software Developer,2,37000
Bachelor,Data Analyst,5,145000
Master,Software Engineer Manager,12,160000
Bachelor,Product Manager,7,120000
Bachelor,Junior Web Developer,3,50000
PhD,Data Scientist,17,168000
Bachelor,Junior Sales Representative,3,45000
Bachelor,Software Developer,6,85000
Bachelor,Front end Developer,4,90000
Master,Marketing Manager,10,110000
High School,Junior HR Coordinator,3,38000
High School,Sales Executive,1,35000
Bachelor,Marketing Coordinator,3,60000
PhD,Research Director,11,160000
Master,Back end Developer,8,140000
Bachelor,Director of Marketing,8,80000
PhD,Research Scientist,12,170000
Bachelor,Product Manager,13,160000
Master,Marketing Director,14,195000
Master,Full Stack Engineer,6,115000
Master,Product Manager,10,160000
Master,Human Resources Manager,12,130000
Bachelor,Back end Developer,3,80000
Bachelor,Software Engineer,10,190000
Bachelor,Marketing Analyst,3,60000
Bachelor,Software Engineer,5,160000
Bachelor,Senior Project Engineer,22,168691
Bachelor,Human Resources Manager,6,75000
Bachelor,Web Developer,4,65000
Bachelor,Marketing Coordinator,4,57000
Bachelor,Front end Developer,6,110000
PhD,Director of Data Science,16,200000
Master,Senior Project Manager,19,140000
PhD,Data Scientist,22,219000
Master,Marketing Manager,12,150000
Master,Marketing Coordinator,8,85000
High School,Receptionist,0,25000
Master,Data Scientist,10,195000
High School,Sales Manager,2,40000
Bachelor,Data Analyst,1,90000
PhD,Software Engineer Manager,32,191267
Bachelor,Data Analyst,11,160000
Master,Back end Developer,4,73938
PhD,Senior Data Scientist,12,170000
Master,Senior HR Generalist,8,95000
Bachelor,Data Analyst,9,195000
Bachelor,Data Analyst,6,120000
Master,Marketing Director,14,190000
Bachelor,Software Engineer,4,75000
Master,Financial Manager,7,120000
Master,Marketing Manager,16,137000
PhD,Software Engineer Manager,16,195000
Bachelor,Software Engineer,5,150000
Master,Human Resources Coordinator,2,45000
Bachelor,Front end Developer,1,55000
Master,Senior Data Scientist,9,125000
Bachelor,Senior Project Engineer,13,131860
Bachelor,Senior Financial Analyst,12,130000
High School,Sales Associate,1,30000
PhD,Software Engineer Manager,21,170226
Master,Senior Software Engineer,7,100000
PhD,Software Engineer Manager,17,195000
Bachelor,Software Engineer,3,80000
Bachelor,Marketing Coordinator,4,58000
PhD,Software Engineer Manager,15,185000
Bachelor,Operations Manager,6,75000
Bachelor,Marketing Coordinator,5,90000
Master,Senior HR Generalist,7,89000
Master,Director of Marketing,12,120000
Bachelor,Operations Manager,11,119000
Master,Content Marketing Manager,5,70000
Bachelor,Event Coordinator,12,60000
Bachelor,Software Developer,6,85000
High School,Financial Manager,4,60000
Bachelor,Junior Software Engineer,2,40000
PhD,Data Scientist,16,160000
PhD,Senior Project Engineer,16,190000
PhD,Senior Project Engineer,13,185000
PhD,Software Engineer Manager,17,195000
Bachelor,Front end Developer,3,80000
High School,Junior Sales Associate,2,35000
Master,Web Developer,7,85000
Bachelor,Software Engineer,1,50000
Master,Software Engineer Manager,12,160000
PhD,Senior Product Marketing Manager,17,170000
PhD,Data Scientist,17,168000
Master,Director of Marketing,16,160000
PhD,Director of Data Science,18,210000
PhD,Software Engineer Manager,0,52612
Bachelor,Product Manager,7,170000
PhD,Senior Human Resources Manager,15,150000
Master,Full Stack Engineer,9,136986
Bachelor,Product Designer,2,55000
Master,Back end Developer,2,70000
Master,Full Stack Engineer,5,84181
Bachelor,Product Designer,2,50000
Master,Senior Project Engineer,11,170000
Master,Financial Analyst,6,100000
Bachelor,Data Analyst,3,120000
PhD,Software Engineer Manager,17,190000
Master,Software Engineer Manager,16,150301
PhD,Director of Data Science,16,200000
PhD,Research Scientist,11,150000
PhD,Data Scientist,18,180000
Bachelor,Product Designer,3,60000
Bachelor,Marketing Analyst,4,70000
PhD,Software Engineer Manager,16,185000
Bachelor,Software Engineer,5,90000
PhD,Software Engineer Manager,17,195000
Bachelor,Data Analyst,5,145000
PhD,Director of Data Science,18,210000
Bachelor,Junior HR Generalist,3,50000
PhD,Software Engineer Manager,19,172955
Bachelor,Financial Analyst,12,160000
Bachelor,Product Designer,2,55000
Master,Human Resources Manager,11,120000
PhD,Software Engineer Manager,16,190000
Bachelor,Financial Manager,16,200000
Bachelor,Data Analyst,3,110000
Bachelor,Software Engineer,4,71000
Bachelor,Full Stack Engineer,6,115000
PhD,Software Engineer Manager,16,190000
Bachelor,Front end Developer,2,65000
High School,Junior Sales Associate,1,25000
Bachelor,Web Developer,3,55000
High School,Junior Sales Associate,1,30000
Master,Senior Software Engineer,9,150000
Master,Human Resources Coordinator,2,45000
Master,Product Manager,2,120000
PhD,Data Scientist,7,185000
Master,Product Manager,11,198000
Bachelor,Software Developer,2,55000
PhD,Director of HR,14,130000
PhD,Data Scientist,22,220000
Bachelor,Senior Project Coordinator,9,95000
Master,Content Marketing Manager,19,190000
Bachelor,Back end Developer,5,100000
Bachelor,Software Engineer,5,160000
PhD,Software Engineer Manager,18,210000
Bachelor,Web Developer,7,85000
Master,Marketing Manager,9,130000
PhD,Senior Research Scientist,13,145000
Bachelor,Junior HR Generalist,5,60000
Master,Data Analyst,8,100000
Master,Financial Manager,13,140000
PhD,Data Scientist,7,170000
PhD,Marketing Manager,8,80000
Master,Software Engineer,2,60000
Bachelor,Front End Developer,4,80000
Bachelor,Supply Chain Analyst,22,130000
Master,Full Stack Engineer,9,136986
PhD,Senior Data Scientist,12,170000
Master,Senior HR Generalist,10,105000
Master,UX Researcher,2,65000
PhD,Software Engineer Manager,15,185000
PhD,Data Scientist,7,185000
Bachelor,Junior Software Engineer,2,48000
Master,Full Stack Engineer,8,140000
Master,Back end Developer,8,140000
Bachelor,Senior Product Manager,8,95000
PhD,Data Scientist,8,140000
Bachelor,Operations Manager,9,110000
Bachelor,Front end Developer,1,55000
PhD,Data Scientist,5,100000
Bachelor,Data Analyst,3,130000
Bachelor,Junior Software Developer,1,35000
Bachelor,Junior Marketing Manager,4,57000
Master,Director of HR,12,120000
Bachelor,Software Engineer,4,160000
Bachelor,Software Developer,2,55000
High School,Junior Sales Associate,1,25000
Bachelor,Software Engineer,5,75000
Bachelor,Software Engineer,1,60000
Bachelor,Software Engineer,4,160000
Bachelor,Front End Developer,4,80000
Bachelor,Marketing Coordinator,4,65000
Master,Senior Software Engineer,10,155000
Bachelor,Data Analyst,11,160000
PhD,Research Director,11,170000
PhD,Software Engineer Manager,29,190543
Bachelor,Marketing Coordinator,5,90000
PhD,Full Stack Engineer,30,121450
Master,Full Stack Engineer,19,177347
Master,Senior Financial Analyst,6,95000
Bachelor,Junior Software Engineer,1,45000
Master,Senior Product Marketing Manager,19,190000
Bachelor,Senior Software Engineer,13,135378
Bachelor,Operations Manager,9,110000
PhD,Data Scientist,13,140000
High School,Sales Executive,2,40000
High School,Back end Developer,4,80247
Bachelor,Software Engineer,3,80000
PhD,Senior Human Resources Manager,15,150000
Bachelor,Software Engineer,3,80000
PhD,Research Director,11,170000
Master,Data Analyst,13,80000
Master,Senior Software Engineer,18,152168
Bachelor,Full Stack Engineer,6,115000
Master,Full Stack Engineer,5,105000
PhD,Sales Director,10,155000
Master,Marketing Manager,7,110000
Master,Senior HR Generalist,8,95000
Bachelor,Operations Manager,8,101000
Bachelor,Front end Developer,2,65000
PhD,Director of Marketing,6,105000
Bachelor,Junior Software Engineer,1,55000
Master,Senior Data Scientist,8,120000
PhD,Senior Software Engineer,12,160000
Master,Director of Marketing,9,95000
Bachelor,Junior Software Developer,2,35000
Master,Marketing Coordinator,8,85000
Master,Software Engineer Manager,16,150301
PhD,Data Scientist,16,160000
Bachelor,Sales Director,6,75000
PhD,Research Director,11,160000
High School,Sales Associate,0,25000
Bachelor,Human Resources Manager,6,75000
PhD,Data Scientist,7,185000
Bachelor,Front end Developer,2,65000
Bachelor,Operations Manager,8,101000
Master,Marketing Manager,9,135000
Bachelor,Data Analyst,2,100000
Bachelor,Software Engineer,5,160000
Bachelor,Software Engineer,1,52000
Master,Marketing Manager,9,130000
Master,Senior Project Engineer,13,180000
High School,Junior HR Coordinator,2,33000
Bachelor,Junior Software Developer,1,35000
Bachelor,Front end Developer,2,70000
PhD,Senior Data Scientist,12,170000
Bachelor,Junior Software Developer,2,36000
PhD,Director of Data Science,16,200000
High School,Web Developer,2,45000
Master,Web Developer,2,50000
Bachelor,Junior Operations Manager,4,60000
PhD,Research Director,12,170000
Bachelor,Data Scientist,9,185000
Bachelor,Software Developer,2,55000
Bachelor,Front end Developer,4,90000
High School,Junior Sales Associate,1,30000
PhD,Senior Project Engineer,17,195000
High School,Junior Sales Associate,2,35000
PhD,Research Director,11,160000
Bachelor,Data Analyst,9,195000
Master,Director of Marketing,9,95000
Master,Senior Software Engineer,7,100000
Master,Marketing Coordinator,13,131000
PhD,Data Scientist,7,170000
Bachelor,Junior Marketing Manager,6,72000
Master,Full Stack Engineer,13,147326
Bachelor,Senior Project Engineer,6,88552
PhD,Senior Project Engineer,16,185000
Bachelor,Full Stack Engineer,1,55000
Bachelor,Marketing Coordinator,5,85000
Bachelor,Marketing Manager,3,65000
Master,Marketing Manager,10,110000
High School,Junior Sales Associate,1,25000
Bachelor,Graphic Designer,2,50000
PhD,Director of Marketing,20,200000
PhD,Senior Project Engineer,14,190000
Master,Software Engineer Manager,23,182392
Bachelor,Software Engineer,9,180000
Bachelor,Data Analyst,1,90000
Master,Content Marketing Manager,19,190000
PhD,Software Engineer Manager,19,200000
PhD,Research Scientist,13,185000
Master,Senior Software Engineer,10,155000
PhD,Software Engineer Manager,17,195000
Bachelor,Data Analyst,3,130000
Bachelor,Junior Project Manager,2,40000
Bachelor,Junior Data Analyst,7,60000
Bachelor,Junior Project Manager,3,55000
PhD,Software Engineer Manager,15,185000
Bachelor,Software Engineer,8,180000
Bachelor,Software Engineer,6,155000
Bachelor,Marketing Coordinator,3,55000
Bachelor,Operations Manager,8,100000
Master,Product Manager,11,198000
High School,Junior Sales Associate,1,30000
PhD,Senior Research Scientist,13,145000
High School,Sales Representative,2,40000
Master,Marketing Manager,11,120000
High School,Junior Sales Associate,1,30000
High School,Receptionist,0,25000
High School,Junior HR Generalist,2,40000
PhD,Software Engineer Manager,16,190000
Master,Marketing Manager,7,110000
Bachelor,Marketing Analyst,4,70000
Bachelor,Software Developer,2,60000
PhD,Software Engineer Manager,16,185000
Bachelor,Operations Manager,6,75000
Bachelor,Marketing Analyst,0,40000
Master,Marketing Manager,9,135000
Bachelor,Web Developer,5,70000
Bachelor,Software Engineer,3,85000
Master,Senior Software Engineer,32,195270
Bachelor,Marketing Analyst,4,70000
Master,Web Developer,3,55000
Bachelor,Product Manager,1,60000
Bachelor,Front End Developer,4,80000
High School,Sales Associate,1,35000
Bachelor,Social Media Manager,4,55000
Bachelor,Operations Manager,22,160000
Bachelor,Data Analyst,9,195000
Bachelor,Front end Developer,1,51265
Master,Human Resources Coordinator,3,50000
Bachelor,Product Manager,7,120000
PhD,Data Scientist,7,185000
Master,Marketing Manager,9,130000
PhD,Senior Product Marketing Manager,9,95000
Bachelor,Data Analyst,11,160000
Bachelor,Full Stack Engineer,7,108204
PhD,Research Director,12,170000
PhD,Senior Project Engineer,19,200000
Bachelor,Web Developer,1,40000
Master,Data Analyst,9,120000
Bachelor,Junior Marketing Manager,4,57000
High School,Financial Manager,3,45000
Bachelor,Junior Software Developer,2,37000
Bachelor,Product Manager,12,150000
Bachelor,Data Analyst,2,110000
Bachelor,Full Stack Engineer,7,130000
PhD,Software Engineer Manager,16,185000
Master,Data Analyst,8,100000
PhD,Senior Product Marketing Manager,15,150000
PhD,Software Engineer Manager,17,195000
Master,Senior Project Engineer,11,128078
Master,Financial Manager,7,120000
Bachelor,Junior Software Engineer,2,48000
Bachelor,Software Engineer,9,180000
Bachelor,Sales Director,9,140000
PhD,Research Director,11,160000
PhD,Data Scientist,2,115000
Master,Senior Software Engineer,7,140000
Bachelor,Project Manager,8,120000
Bachelor,Junior Software Developer,2,37000
Master,Human Resources Manager,11,120000
High School,Junior Sales Associate,1,25000
PhD,Marketing Manager,4,55000
Master,Product Manager,11,195000
Bachelor,Financial Manager,10,100000
Bachelor,Front End Developer,4,80000
Bachelor,Marketing Analyst,3,60000
Bachelor,Software Engineer,4,65000
PhD,Software Engineer Manager,16,190000
Bachelor,Full Stack Engineer,8,122485
Bachelor,Junior Data Analyst,2,50000
Master,Human Resources Manager,15,152000
High School,Sales Associate,3,50000
Bachelor,Digital Marketing Manager,6,95000
High School,Junior Sales Associate,1,26000
Bachelor,Junior Software Engineer,1,45000
Master,Back end Developer,2,70000
Bachelor,Product Designer,3,60000
Master,Marketing Manager,7,90000
Bachelor,Marketing Analyst,3,65000
Bachelor,Back end Developer,3,80000
Master,Financial Manager,7,120000
Master,Senior HR Generalist,12,110000
High School,Junior Sales Associate,1,25000
High School,Sales Associate,3,50000
PhD,Research Scientist,12,170000
Master,Data Scientist,9,140000
Bachelor,Marketing Analyst,2,50000
Bachelor,Sales Manager,11,160000
Bachelor,Product Manager,7,120000
Master,Marketing Manager,7,110000
Master,Product Manager,12,120000
Bachelor,Senior Software Engineer,6,104378
Master,Full Stack Engineer,6,105725
Bachelor,Data Analyst,2,110000
PhD,Senior Project Engineer,17,195000
PhD,Research Director,12,170000
Master,Marketing Manager,9,135000
PhD,Data Scientist,8,140000
Bachelor,Financial Manager,4,55000
PhD,Data Scientist,9,112000
Bachelor,Full Stack Engineer,17,149198
Bachelor,Marketing Analyst,3,65000
PhD,Data Scientist,24,240000
Bachelor,Financial Manager,16,215000
High School,Junior Sales Associate,2,35000
Master,Product Manager,11,195000
Master,Full Stack Engineer,19,177347
Bachelor,Junior Software Developer,2,36000
Bachelor,Human Resources Manager,8,92000
PhD,Senior Project Engineer,17,195000
PhD,Software Engineer Manager,15,185000
Bachelor,Sales Manager,11,160000
Bachelor,Front end Developer,4,90000
PhD,Research Director,12,170000
Bachelor,Software Engineer,8,180000
PhD,Senior Project Engineer,19,200000
Bachelor,Marketing Coordinator,5,90000
High School,Junior Sales Associate,2,31000
Master,Data Scientist,11,160000
Bachelor,Full Stack Engineer,10,149217
High School,Junior Sales Associate,2,30000
Bachelor,Software Engineer,12,195000
Master,Senior Software Engineer,7,140000
Bachelor,Software Engineer,4,65000
High School,Receptionist,0,25000
PhD,Director of Data Science,18,210000
High School,Junior Sales Representative,3,40000
PhD,Data Scientist,15,150000
Bachelor,Software Engineer,1,50000
PhD,Software Engineer Manager,22,178684
Master,Senior Human Resources Manager,13,140000
Bachelor,Software Engineer,3,80000
PhD,Senior Scientist,11,120000
Bachelor,Software Engineer,4,140000
Master,Senior Project Engineer,11,165000
Bachelor,Digital Marketing Manager,6,95000
Master,Full Stack Engineer,11,151078
Master,Marketing Manager,13,130000
Bachelor,Junior HR Coordinator,4,60000
Bachelor,Graphic Designer,2,50000
Master,Data Analyst,9,120000
Master,Senior HR Generalist,8,80000
Bachelor,Senior Marketing Coordinator,9,110000
Master,Data Scientist,9,185000
Master,Software Engineer,2,60000
Bachelor,Marketing Analyst,2,50000
PhD,Senior Project Engineer,19,200000
Bachelor,Software Engineer,4,140000
Bachelor,Front end Developer,1,55000
PhD,Software Engineer Manager,15,185000
High School,Junior Sales Associate,2,30000
PhD,Director of Data Science,16,200000
Bachelor,Software Engineer,4,65000
High School,Sales Associate,1,35000
Bachelor,Software Engineer,3,80000
Bachelor,Front end Developer,1,55000
Bachelor,Software Engineer,1,50000
Bachelor,Software Engineer,1,50000
PhD,Data Scientist,18,182000
Master,Senior IT Consultant,9,110000
Bachelor,Software Engineer,4,140000
Master,Full Stack Engineer,6,125000
High School,Sales Manager,2,40000
Bachelor,Front end Developer,1,55000
Bachelor,Back end Developer,5,100000
High School,Senior Software Engineer,22,165919
Bachelor,Marketing Analyst,2,50000
Master,Senior Project Coordinator,13,80000
Bachelor,Data Analyst,5,140000
Master,Back end Developer,9,150000
Master,Front end Developer,5,105000
Bachelor,Front End Developer,4,80000
Bachelor,Junior Product Manager,4,60000
